appid,name,tags,price,reviews,reviewScore,copiesSold,revenue,followers,genres
457140,Oxygen Not Included,"['Colony Sim', 'Base Building', 'Survival', 'Resource Management', 'Building', 'Singleplayer', 'Management', '2D', 'Simulation', 'Sandbox', 'Strategy', 'Space', 'Indie', 'Sci-fi', 'Exploration', 'Difficult', 'Open World', 'Multiplayer', 'Adventure', 'Space Sim']",24.99,116265,97,5092343,66788935,388922,"['Indie', 'Simulation']"
1057090,Ori and the Will of the Wisps,"['Beautiful', 'Metroidvania', 'Platformer', 'Great Soundtrack', 'Singleplayer', 'Action', 'Adventure', 'Atmospheric', 'Story Rich', 'Exploration', 'Cute', 'Action-Adventure', 'Puzzle', 'Emotional', '2D', 'Indie', 'Difficult', 'Fantasy', 'Open World', 'Souls-like']",29.99,123100,0,3904300,55393181,192722,['Action']
22380,Fallout: New Vegas,"['Open World', 'RPG', 'Post-apocalyptic', 'Singleplayer', 'Moddable', 'Story Rich', 'Exploration', 'First-Person', 'Action', 'Adventure', 'FPS', 'Sci-fi', 'Western', 'Atmospheric', 'Action RPG', 'Character Customization', 'Survival', 'Sandbox', 'Shooter', 'Third Person']",9.99,208607,96,7472017,36335828,169317,"['Action', 'RPG']"
1058020,"STAR WARS™ Battlefront (Classic, 2004)","['Action', 'Multiplayer', 'Classic', 'FPS', 'Third-Person Shooter', 'Sci-fi', 'Singleplayer', 'Shooter', 'Space', 'First-Person', 'Great Soundtrack', 'Third Person', 'Co-op', 'Controller', 'Moddable', 'War']",9.99,4032,97,254487,1551605,13214,['Action']
1102190,Monster Train,"['Card Battler', 'Roguelite', 'Card Game', 'Turn-Based Tactics', 'Deckbuilding', 'Roguelike', 'Turn-Based Strategy', 'PvP', 'Difficult', 'Strategy', 'Roguelike Deckbuilder', 'RPG', 'Turn-Based Combat', 'Choices Matter', 'Procedural Generation', 'Colorful', 'Fantasy', 'Demons', 'Trains', 'Magic']",24.99,19876,96,887596,13682191,34427,['Strategy']
270880,American Truck Simulator,"['Automobile Sim', 'Driving', 'Open World', 'Transportation', 'Simulation', 'America', 'Realistic', 'Moddable', 'Relaxing', 'Exploration', 'Economy', 'Management', 'Atmospheric', 'Immersive Sim', 'Multiplayer', 'Singleplayer', 'Adventure', 'Casual', 'Family Friendly', 'Level Editor']",19.99,149701,97,4815891,33198700,437296,"['Indie', 'Simulation']"
632360,Risk of Rain 2,"['Third-Person Shooter', 'Action Roguelike', 'Multiplayer', 'Co-op', 'Action', 'Roguelite', 'Roguelike', 'Looter Shooter', 'Loot', 'Online Co-Op', 'Shooter', 'Difficult', 'Great Soundtrack', 'Third Person', 'Indie', 'Survival', 'Singleplayer', 'Soundtrack', 'Early Access', 'Bullet Hell']",24.99,272014,95,6931375,99483913,317931,"['Action', 'Indie']"
413410,Danganronpa: Trigger Happy Havoc,"['Anime', 'Visual Novel', 'Mystery', 'Detective', 'Story Rich', 'Great Soundtrack', 'Singleplayer', 'Psychological Horror', 'Adventure', 'Horror', 'Dark Comedy', 'Dark Humor', 'Puzzle', 'Point & Click', 'Funny', 'Comedy', 'Exploration', 'Survival', 'Action', 'Memes']",19.99,27456,96,1063773,11027522,71469,['Adventure']
304430,INSIDE,"['2.5D', 'Puzzle Platformer', 'Atmospheric', 'Dark', 'Story Rich', 'Cinematic', 'Indie', 'Horror', 'Singleplayer', 'Adventure', 'Multiple Endings', '2D Platformer', 'Minimalist', 'Action-Adventure', 'Ambient', 'Platformer', 'Controller', 'Puzzle', 'Narrative', 'Action']",19.99,58552,97,2158431,13108365,171994,"['Action', 'Adventure', 'Indie']"
264710,Subnautica,"['Open World Survival Craft', 'Survival', 'Horror', 'Open World', 'Underwater', 'Exploration', 'Crafting', 'Base Building', 'Singleplayer', 'Adventure', 'First-Person', 'Sci-fi', 'Sandbox', 'Aliens', 'Atmospheric', 'Multiplayer', 'Survival Horror', 'VR', 'Action', 'Indie']",29.99,269210,97,7170193,99219560,606507,"['Adventure', 'Indie']"
860950,Mark of the Ninja: Remastered,"['Stealth', 'Ninja', '2D', 'Action', 'Indie', 'Platformer', 'Violent', 'Side Scroller', 'Singleplayer', 'Gore', 'Assassin', 'Atmospheric', 'Remake', 'Adventure', 'Puzzle', 'Story Rich', 'Metroidvania', 'Hack and Slash']",19.99,5600,96,223743,2206446,18793,"['Action', 'Indie']"
242680,Nuclear Throne,"['Action Roguelike', 'Roguelike', 'Pixel Graphics', 'Indie', 'Difficult', 'Bullet Hell', 'Action', 'Roguelite', 'Top-Down Shooter', 'Great Soundtrack', 'Post-apocalyptic', 'Shooter', 'Local Co-Op', 'Top-Down', 'Singleplayer', '2D', 'Twin Stick Shooter', 'Perma Death', 'RPG', 'Local Multiplayer']",11.99,17177,96,698537,7364604,52712,"['Action', 'Indie', 'RPG']"
