appid,name,tags,price,reviews,reviewScore,copiesSold,revenue,followers,genres
227300,Euro Truck Simulator 2,"['Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim', 'Realistic', 'Moddable', 'Relaxing', 'Exploration', 'Immersive Sim', 'Economy', 'Management', 'Atmospheric', 'Multiplayer', 'Controller', 'Family Friendly', 'Third Person', 'Adventure', 'Casual', 'Indie']",19.99,724689,98,19138378,84960177,1114686,"['Indie', 'Simulation']"
238460,BattleBlock Theater®,"['Co-op', 'Platformer', 'Funny', 'Comedy', 'Level Editor', 'Multiplayer', 'Local Co-Op', '2D', 'Online Co-Op', 'Cats', 'Action', '2D Platformer', 'Side Scroller', 'Local Multiplayer', 'Casual', 'Singleplayer', 'Puzzle Platformer', 'Indie', 'Puzzle', 'Narration']",14.99,69426,97,4387263,13375119,142778,"['Action', 'Adventure', 'Casual', 'Indie']"
1687950,Persona 5 Royal,"['JRPG', 'Story Rich', 'Turn-Based Combat', 'Great Soundtrack', 'Anime', 'RPG', 'Singleplayer', 'Party-Based RPG', 'Dating Sim', 'Multiple Endings', 'Turn-Based Strategy', 'Emotional', 'Visual Novel', 'Sexual Content', 'Colorful', 'Adventure', 'Heist', 'Soundtrack', 'Detective', 'Violent']",59.99,68869,97,1958363,60963163,135282,['RPG']
2161700,Persona 3 Reload,"['JRPG', 'RPG', 'Anime', 'Party-Based RPG', 'Adventure', 'Turn-Based Strategy', 'Strategy', 'Dating Sim', 'Story Rich', 'Dark', 'Emotional', 'Strategy RPG', 'Visual Novel', 'Turn-Based Combat', 'Colorful', 'Great Soundtrack', 'Supernatural', 'Mystery', 'Detective', 'Multiple Endings']",69.99,24419,0,804934,43191004,88647,"['Adventure', 'RPG', 'Strategy']"
1378990,Crash Bandicoot™ 4: It’s About Time,"['Action', '3D Platformer', 'Platformer', 'Adventure', 'Difficult', 'Action-Adventure', 'Cartoony', 'Singleplayer', '3D', 'Third Person', 'Comedy', 'Colorful', 'Family Friendly', 'Great Soundtrack', 'Multiplayer', 'Female Protagonist', 'Funny']",39.99,2699,87,165913,3458117,15837,['Action']
1113000,Persona 4 Golden,"['JRPG', 'Great Soundtrack', 'Story Rich', 'Anime', 'Turn-Based Combat', 'RPG', 'Singleplayer', 'Party-Based RPG', 'Mystery', 'Multiple Endings', 'Emotional', 'Turn-Based Strategy', 'Detective', 'Dating Sim', 'Colorful', 'Adventure', 'Strategy', 'Visual Novel', 'Violent', 'Turn-Based']",19.99,69002,97,1410765,22097449,94493,['RPG']
1092790,Inscryption,"['Card Battler', 'Card Game', 'Story Rich', 'Deckbuilding', 'Horror', 'Dark', 'Puzzle', 'Strategy', 'Roguelite', 'Roguelike', 'Psychological', 'Surreal', 'Experimental', 'First-Person', 'Point & Click', '3D', '2D', 'Pixel Graphics', 'FMV', 'Adventure']",19.99,114678,97,2601367,30051857,118885,"['Adventure', 'Indie', 'Strategy']"
883710,Resident Evil 2,"['Zombies', 'Survival Horror', 'Horror', 'Singleplayer', 'Remake', 'Third Person', 'Gore', 'Action', 'Puzzle', 'Atmospheric', 'Violent', 'Story Rich', 'Multiplayer', 'Survival', 'Classic', 'Female Protagonist', 'Dark', 'Shooter', 'Adventure', 'Difficult']",39.99,153972,97,3546061,68286226,297632,['Action']
367520,Hollow Knight,"['Metroidvania', 'Souls-like', 'Platformer', 'Great Soundtrack', '2D', 'Difficult', 'Indie', 'Singleplayer', 'Atmospheric', 'Exploration', 'Adventure', 'Story Rich', 'Hand-drawn', 'Action', 'Multiple Endings', 'Dark Fantasy', 'Open World', 'Cute', 'Controller', 'Side Scroller']",14.99,349412,97,9134779,69944525,379254,"['Action', 'Adventure', 'Indie']"
400910,Rabi-Ribi,"['Anime', 'Metroidvania', 'Bullet Hell', 'Female Protagonist', 'Pixel Graphics', 'Exploration', 'Cute', 'Indie', 'Action-Adventure', 'Side Scroller', 'Action', 'Singleplayer', 'Platformer', 'Adventure', 'Difficult', '2D', 'Fantasy', 'Crowdfunded', 'Colorful', 'Magic']",17.99,11344,96,321195,2999040,54323,"['Action', 'Adventure', 'Casual', 'Indie']"
588650,Dead Cells,"['Adventure', 'Action Roguelike', 'Metroidvania', 'Pixel Graphics', 'Roguelike', '2D', 'Souls-like', 'Roguelite', 'Replay Value', 'Hack and Slash', 'Difficult', 'Platformer', 'Singleplayer', 'Roguevania', 'Action', 'Dark Fantasy', 'Procedural Generation', 'Atmospheric', 'Funny', 'Indie']",24.99,151149,97,5051239,64165070,379854,"['Action', 'Adventure', 'Indie']"
239030,"Papers, Please","['Indie', 'Political', 'Simulation', 'Singleplayer', 'Point & Click', 'Pixel Graphics', 'Dystopian', 'Multiple Endings', 'Puzzle', 'Story Rich', 'Retro', 'Atmospheric', '2D', 'Addictive', 'Great Soundtrack', 'Strategy', 'Replay Value', 'Casual', 'Difficult', 'Adventure']",9.99,67877,97,4287845,19979938,115539,"['Adventure', 'Indie']"
1593500,God of War,"['Action', 'Singleplayer', 'Story Rich', 'Adventure', 'Mythology', 'Combat', 'Third Person', 'RPG', 'Hack and Slash', 'Violent', 'Open World', 'Fantasy', 'Exploration', 'Atmospheric', 'Gore', 'Action RPG', 'Souls-like', 'Emotional', '3D', 'PvE']",49.99,129636,97,2912161,79887961,278302,"['Action', 'Adventure', 'RPG']"
1574260,My Friendly Neighborhood,"['Singleplayer', 'Survival Horror', 'Horror', 'Funny', 'Puzzle', 'Resource Management', 'Exploration', 'Survival', 'First-Person', 'FPS', 'Shooter', 'Adventure', 'Story Rich', 'Choices Matter', 'Lore-Rich', 'Multiple Endings', 'Atmospheric', 'Action', 'Action-Adventure', '3D']",29.99,2231,96,67316,1789966,14345,"['Action', 'Adventure', 'Indie']"
653530,Return of the Obra Dinn,"['Detective', 'Mystery', 'Puzzle', 'Story Rich', 'Atmospheric', 'Singleplayer', 'Indie', 'Great Soundtrack', 'First-Person', 'Historical', 'Adventure', 'Naval', 'Difficult', 'Retro', 'Multiple Endings', 'Violent', 'Pirates', 'Horror', 'Walking Simulator', 'Noir']",19.99,25226,97,753839,10535122,74301,"['Adventure', 'Indie']"
219740,Don't Starve,"['Survival', 'Open World Survival Craft', 'Crafting', 'Adventure', 'Indie', 'Sandbox', 'Singleplayer', 'Perma Death', 'Multiplayer', 'Open World', 'Exploration', 'Roguelike', 'Replay Value', 'Moddable', 'Difficult', 'Simulation', '2D', 'Top-Down', 'Survival Horror', 'Horror']",9.99,105735,97,6272698,22198941,204817,"['Adventure', 'Indie', 'Simulation']"
813230,ANIMAL WELL,"['Exploration', 'Metroidvania', 'Puzzle', 'Puzzle Platformer', 'Pixel Graphics', 'Horror', 'Platformer', '2D', 'Adventure', 'Atmospheric', 'Mystery', 'Action', 'Surreal', 'Relaxing', 'Nonlinear', 'Cute', 'Indie', 'Singleplayer', 'Controller', 'Retro']",24.99,16622,96,376427,7675927,48500,"['Action', 'Adventure', 'Indie']"
548430,Deep Rock Galactic,"['Dwarf', 'Co-op', 'PvE', 'FPS', 'Procedural Generation', 'Class-Based', 'Shooter', 'Exploration', 'First-Person', 'Loot', 'Sci-fi', 'Space', 'Action', 'Atmospheric', 'Looter Shooter', 'Combat', 'Survival', 'Horror', 'Dark', 'Action Roguelike']",29.99,288635,97,7844997,98791892,2652690,['Action']
610370,Desperados III,"['Strategy', 'Real Time Tactics', 'Stealth', 'Western', 'Tactical', 'Isometric', 'Singleplayer', 'Assassin', 'Difficult', 'Third Person', 'Atmospheric', 'Action', 'Historical', 'Violent', 'Top-Down', 'Adventure', 'Indie', 'Survival', 'RTS', 'Great Soundtrack']",39.99,13206,97,336236,8423738,78868,['Strategy']
2050650,Resident Evil 4,"['Horror', 'Action', 'Survival Horror', 'Third-Person Shooter', 'Singleplayer', 'Zombies', 'Story Rich', 'Survival', 'Cinematic', 'Dark', 'Realistic', 'Remake', 'Gore', 'Resource Management', 'Adventure', 'Third Person', 'Violent', 'Psychological Horror', 'Action-Adventure', '3D']",39.99,136961,98,3015787,116223152,248255,"['Action', 'Adventure']"
975370,Dwarf Fortress,"['Colony Sim', 'Dwarf', 'Strategy', 'Simulation', 'Base Building', 'City Builder', 'Sandbox', 'Management', 'Building', 'Survival', 'Roguelike', 'Open World', 'Procedural Generation', 'Resource Management', 'Fantasy', 'Crafting', 'Economy', 'Moddable', 'Exploration', 'Difficult']",29.99,25678,95,877088,23661073,190212,"['Indie', 'Simulation', 'Strategy']"
1388880,Doki Doki Literature Club Plus!,"['Psychological Horror', 'Visual Novel', 'Anime', 'Dating Sim', 'Sexual Content', 'Cute', 'Romance', 'Story Rich', 'Multiple Endings', 'Gore', 'Singleplayer', '2D', 'Violent', 'Interactive Fiction', 'Text-Based', 'Conversation', 'Dark Humor', 'Indie', 'Casual', 'Choose Your Own Adventure']",14.99,23761,97,499767,4926952,65693,"['Casual', 'Indie']"
391540,Undertale,"['Great Soundtrack', 'Story Rich', 'Choices Matter', 'Multiple Endings', 'Pixel Graphics', 'Funny', 'RPG', 'Singleplayer', 'Indie', 'Comedy', '2D', 'Replay Value', 'Bullet Hell', 'Cute', 'Memes', 'Retro', 'Dark', 'Psychological Horror', 'Dating Sim', 'Horror']",9.99,225238,97,6141462,32365264,360571,"['Indie', 'RPG']"
698780,Doki Doki Literature Club!,"['Psychological Horror', 'Visual Novel', 'Anime', 'Free to Play', 'Dating Sim', 'Horror', 'Cute', 'Dark', 'Story Rich', 'Romance', 'Singleplayer', 'Great Soundtrack', 'Gore', 'Violent', 'Indie', 'Sexual Content', 'Memes', 'First-Person', 'Casual', 'Adventure']",0,205687,97,6296391,46379.96795725178,157047,"['Casual', 'Free To Play', 'Indie']"
683320,GRIS,"['Beautiful', 'Atmospheric', 'Great Soundtrack', 'Indie', 'Female Protagonist', 'Adventure', 'Hand-drawn', 'Platformer', 'Singleplayer', 'Relaxing', '2D', 'Story Rich', 'Puzzle', 'Colorful', 'Puzzle Platformer', 'Surreal', 'Casual', 'Exploration', 'Walking Simulator', 'Anime']",14.99,70731,97,1580920,9094593,129584,"['Adventure', 'Indie']"
268910,Cuphead,"['Difficult', 'Cartoon', 'Co-op', 'Platformer', 'Great Soundtrack', 'Local Co-Op', '2D', 'Hand-drawn', 'Multiplayer', 'Indie', 'Retro', 'Cartoony', 'Bullet Hell', 'Action', ""Shoot 'Em Up"", 'Singleplayer', 'Side Scroller', 'Colorful', 'Funny', 'Souls-like']",19.99,159069,96,5425173,76477627,325987,"['Action', 'Indie']"
427520,Factorio,"['Automation', 'Base Building', 'Resource Management', 'Sandbox', 'Crafting', 'Strategy', 'Multiplayer', 'Survival', 'Management', 'Open World', 'Building', 'Co-op', '2D', 'Moddable', 'Singleplayer', 'Trains', 'Simulation', 'Pixel Graphics', 'City Builder', 'Indie']",35,179207,97,4776454,130630931,386319,"['Casual', 'Indie', 'Simulation', 'Strategy']"
413420,Danganronpa 2: Goodbye Despair,"['Anime', 'Detective', 'Visual Novel', 'Mystery', 'Story Rich', 'Great Soundtrack', 'Singleplayer', 'Psychological Horror', 'Adventure', 'Dark Comedy', 'Horror', 'Puzzle', 'Atmospheric', 'Dark', 'Comedy', 'Memes', 'Mature', 'Dating Sim', 'Funny', 'Walking Simulator']",19.99,24188,96,856454,8593492,50232,['Adventure']
457140,Oxygen Not Included,"['Colony Sim', 'Base Building', 'Survival', 'Resource Management', 'Building', 'Singleplayer', 'Management', '2D', 'Simulation', 'Sandbox', 'Strategy', 'Space', 'Indie', 'Sci-fi', 'Exploration', 'Difficult', 'Open World', 'Multiplayer', 'Adventure', 'Space Sim']",24.99,116362,97,5093320,66761559,389008,"['Indie', 'Simulation']"
1057090,Ori and the Will of the Wisps,"['Beautiful', 'Metroidvania', 'Platformer', 'Great Soundtrack', 'Singleplayer', 'Action', 'Adventure', 'Atmospheric', 'Story Rich', 'Exploration', 'Cute', 'Action-Adventure', 'Puzzle', 'Emotional', '2D', 'Indie', 'Difficult', 'Fantasy', 'Open World', 'Souls-like']",29.99,126486,97,3811115,53792508,192762,['Action']
22380,Fallout: New Vegas,"['Open World', 'RPG', 'Post-apocalyptic', 'Singleplayer', 'Moddable', 'Story Rich', 'Exploration', 'First-Person', 'Action', 'Adventure', 'FPS', 'Sci-fi', 'Western', 'Atmospheric', 'Action RPG', 'Character Customization', 'Survival', 'Sandbox', 'Shooter', 'Third Person']",9.99,208813,96,7473273,36341190,169360,"['Action', 'RPG']"
1058020,"STAR WARS™ Battlefront (Classic, 2004)","['Action', 'Multiplayer', 'Classic', 'FPS', 'Third-Person Shooter', 'Sci-fi', 'Singleplayer', 'Shooter', 'Space', 'First-Person', 'Great Soundtrack', 'Third Person', 'Co-op', 'Controller', 'Moddable', 'War']",9.99,4033,97,254892,1553264,13216,['Action']
1102190,Monster Train,"['Card Battler', 'Roguelite', 'Card Game', 'Turn-Based Tactics', 'Deckbuilding', 'Roguelike', 'Turn-Based Strategy', 'PvP', 'Difficult', 'Strategy', 'Roguelike Deckbuilder', 'RPG', 'Turn-Based Combat', 'Choices Matter', 'Procedural Generation', 'Colorful', 'Fantasy', 'Demons', 'Trains', 'Magic']",24.99,19892,96,888061,13686625,34430,['Strategy']
270880,American Truck Simulator,"['Automobile Sim', 'Driving', 'Open World', 'Transportation', 'Simulation', 'America', 'Realistic', 'Moddable', 'Relaxing', 'Exploration', 'Economy', 'Management', 'Atmospheric', 'Immersive Sim', 'Multiplayer', 'Singleplayer', 'Adventure', 'Casual', 'Family Friendly', 'Level Editor']",19.99,149794,97,4825731,33247732,437656,"['Indie', 'Simulation']"
632360,Risk of Rain 2,"['Third-Person Shooter', 'Action Roguelike', 'Multiplayer', 'Co-op', 'Action', 'Roguelite', 'Roguelike', 'Looter Shooter', 'Loot', 'Online Co-Op', 'Shooter', 'Difficult', 'Great Soundtrack', 'Third Person', 'Indie', 'Survival', 'Singleplayer', 'Soundtrack', 'Early Access', 'Bullet Hell']",24.99,272178,95,6936786,99487892,318048,"['Action', 'Indie']"
413410,Danganronpa: Trigger Happy Havoc,"['Anime', 'Visual Novel', 'Mystery', 'Detective', 'Story Rich', 'Great Soundtrack', 'Singleplayer', 'Psychological Horror', 'Adventure', 'Horror', 'Dark Comedy', 'Dark Humor', 'Puzzle', 'Point & Click', 'Funny', 'Comedy', 'Exploration', 'Survival', 'Action', 'Memes']",19.99,27460,96,1064626,11032649,71483,['Adventure']
304430,INSIDE,"['2.5D', 'Puzzle Platformer', 'Atmospheric', 'Dark', 'Story Rich', 'Cinematic', 'Indie', 'Horror', 'Singleplayer', 'Adventure', 'Multiple Endings', '2D Platformer', 'Minimalist', 'Action-Adventure', 'Platformer', 'Ambient', 'Controller', 'Puzzle', 'Narrative', 'Action']",19.99,58636,97,2161047,13114786,172003,"['Action', 'Adventure', 'Indie']"
264710,Subnautica,"['Open World Survival Craft', 'Survival', 'Horror', 'Open World', 'Underwater', 'Exploration', 'Crafting', 'Base Building', 'Singleplayer', 'Adventure', 'First-Person', 'Sci-fi', 'Sandbox', 'Aliens', 'Atmospheric', 'Multiplayer', 'Survival Horror', 'VR', 'Action', 'Indie']",29.99,269398,97,7181896,99376491,606641,"['Adventure', 'Indie']"
860950,Mark of the Ninja: Remastered,"['Stealth', 'Ninja', '2D', 'Action', 'Indie', 'Platformer', 'Violent', 'Side Scroller', 'Singleplayer', 'Gore', 'Assassin', 'Atmospheric', 'Remake', 'Adventure', 'Puzzle', 'Story Rich', 'Metroidvania', 'Hack and Slash']",19.99,5603,96,223557,2204320,18799,"['Action', 'Indie']"
242680,Nuclear Throne,"['Action Roguelike', 'Roguelike', 'Pixel Graphics', 'Indie', 'Difficult', 'Bullet Hell', 'Action', 'Roguelite', 'Top-Down Shooter', 'Great Soundtrack', 'Post-apocalyptic', 'Shooter', 'Local Co-Op', 'Top-Down', 'Singleplayer', '2D', 'Twin Stick Shooter', 'Perma Death', 'RPG', 'Local Multiplayer']",11.99,17182,96,698668,7366045,52711,"['Action', 'Indie', 'RPG']"
1235140,Yakuza: Like a Dragon,"['RPG', 'Adventure', 'Action', 'Turn-Based Combat', 'JRPG', 'Turn-Based', 'Story Rich', 'Open World', 'Singleplayer', 'Funny', 'Crime', 'Comedy', 'Violent', 'Great Soundtrack', 'Sexual Content', 'Minigames', 'Drama', 'Nudity', 'Third Person', 'Anime']",19.99,28188,95,806300,20992616,67627,"['Action', 'Adventure', 'RPG']"
238320,Outlast,"['Horror', 'First-Person', 'Survival Horror', 'Atmospheric', 'Psychological Horror', 'Gore', 'Survival', 'Singleplayer', 'Dark', 'Adventure', 'Action', 'Multiplayer', 'Indie', 'Stealth', 'Nudity', 'Parkour', 'Difficult', 'Walking Simulator', '3D Vision', 'Sci-fi']",19.99,113397,96,5349712,32548744,115940,"['Action', 'Adventure', 'Indie']"
70300,VVVVVV,"['Pixel Graphics', 'Precision Platformer', 'Platformer', 'Indie', '2D Platformer', 'Great Soundtrack', 'Difficult', 'Retro', '2D', 'Singleplayer', 'Exploration', 'Action', 'Sci-fi', 'Adventure', 'Short', 'Minimalist', 'Metroidvania', 'Puzzle', 'Open World', 'Space']",4.99,9533,96,716503,1440388,7689,"['Action', 'Indie']"
