Sales,Dev,Pub,IP,Date,Gap,Player,Price,IMDB,Rawg,Chinese,French,Spanish,Japanese,Korean,Russian,Turkish,Portuguese,Polish,Action,ActionAdventure,Role-Playing,Strategy,Adventure,First-Person,Fighting,Puzzle,Arcade,Sci-Fi,Open-world,Survival,PC,PS4,XBOX,NS,Youtube,Twitch,UserScore,CriticScore,Ratings,Media,SteamCCU,SteamComments,SteamFollowers,VGTime,Douban
3010000,10,10,4,42797,849,0,50,61,55,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,457838,15355,4,58,422,63,0,0,0,5842,716
3000000,8,10,8,42087,1513,1,60,2682,3897,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,306124,245345,8,92,8820,100,0,0,0,9444,3857
3000000,2,2,1,42556,426,0,25,69,2007,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,19892,129390,7,77,489,73,263,5446,40924,304,86
3000000,9,9,8,43718,3,2,60,348,1066,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,35164,57682,8,84,2484,109,9878,7351,57252,650,291
3000000,9,9,10,43802,11,2,40,1210,1659,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7283,136672,7,85,1484,69,161024,39167,343442,690,295
3000000,7,9,5,42297,576,0,80,8225,6874,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,70557,21098,8,85,3923,42,18260,129210,254064,1528,7093
3000000,7,7,8,42248,21,2,60,5141,5119,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,312740,9967,8,95,8289,109,4048,48676,244598,6087,3555
3000000,9,9,4,41926,102,0,10,2458,2204,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,179825,18349,7,79,2946,107,556,14120,81645,1158,1611
2939567,5,6,1,43081,201,1,20,1252,625,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,60276,48314,8,69,73,22,485,17201,228417,10,102
2819052,5,6,2,42479,803,1,10,46,1860,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14224,104100,7,84,78,13,853,23835,65683,3,101
2800000,5,5,3,42790,720,0,15,361,2913,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,32919,177178,9,90,1495,59,6665,61820,178801,3353,2918
2750000,6,6,3,42283,679,2,30,85,1368,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,24053,11021,7,80,1986,101,18092,42780,265915,2083,51
