Sales,Date,Gap,PriceMax,PriceMin,Rawg,Youtube,TwitchPChannel,TwitchPViewer,MCUserScore,MCCriticScore,MCUserRatings,MCMediaRatings,SteamCCU,SteamComments,SteamFollowers,Douban,Google Trends
1369504,41767,1515,30,6,577,1630,10,5453,7.2,66,136,7,3214,12983,73731,249,0.2
1358070,41569,1515,6,3,3292,1689,44,3218,8.5,91,519,4,1009,15681,41707,483,5.882352941
1352834,42527,755,40,15,777,103540,126,24555,7.2,83,482,37,46806,64054,195582,52,0.22
1331963,42052,1230,45,9,438,44256,11,838,7.4,80,577,66,4635,18704,116641,28,1.149425287
1330000,43980,69,60,60,77,5873,1,11820,9,89,810,90,,,,522,0.34
1323578,42089,1193,30,18,2198,57224,32,16860,8.3,89,2423,71,2778,14715,159335,412,3.571428571
1301428.571,43018,7,60,16,1857,74770,978,120873,4.1,81,2341,124,68183,31693,267202,578,0.07
1300000,42535,168,10,8,2018,116255,2915,146848,6.7,71,594,54,75044,246991,1008071,85,2.702702703
1300000,42404,3,30,7.5,689,144083,339,34575,8.5,80,485,73,1368,23490,109982,1104,0.86
1300000,42107,861,30,15,1992,65524,243,33607,8.1,77,279,39,7344,58782,446762,512,0.94
1260000,43896,25,60,60,30,11916,420,16927,8.1,68,188,74,,,,27,0.01
1236186,42073,1209,15,4,2586,27115,14,28800,7.6,75,736,85,557,26834,71430,429,0.08
1200000,42902,41,60,42,102,,570,40901,7.1,77,748,97,,,,971,0
1200000,41712,56,10,7.5,1316,243277,54,160027,7.2,91,2535,36,12106,34957,118121,1018,0.43
1200000,42507,652,60,30,850,59965,85,44004,4.4,54,749,103,687,7347,101152,81,0.83
1186829,41458,1824,20,5,2050,14092,14,14223,8.7,81,599,18,885,10525,30024,157,1.25
1181288,42850,285,40,12,139,10568,58,138487,8.1,90,234,75,1368,2847,12842,296,0.13
1180000,43294,261,40,28,132,31431,28,16519,8,82,173,66,,,,683,0.19
1141383,41652,1630,15,4,940,19372,6,26544,6.8,81,192,46,60,4683,17258,88,0.33
1110000,43552,3,60,42,70,58073,155,12884,8,79,244,92,,,,553,0.05
1108262,41438,1844,30,3,1594,1389,15,12457,5.6,62,410,18,60,6210,30828,23,0.35
1100000,43130,600,60,15,98,43980,61,8902,7.4,67,344,66,,,,23,0.2
1100000,43658,28,60,40,92,32498,159,11954,8.1,86,183,87,,,,488,0.71
1100000,44358,37,69.99,69.99,104,141477,1603,135505,8.9,88,1233,122,,,,174,0.05
1100000,43556,365,15,10,409,264916,241,74419,7.5,0,44,0,9206,39711,267642,208,1.075268817
1083514,41583,1699,14,5,1202,26595,14,3416,6.9,79,590,9,85,17775,68678,260,4.347826087
1061209,42297,985,50,13,761,40921,24,19595,7.5,77,497,63,250,6630,136604,198,1.408450704
1052510,42579,703,20,4,330,4942,33,33545,8.5,77,42,10,522,19181,104566,39,0.08
1040000,42345,424,60,40,3219,52169,148,7842,8.6,86,722,96,10863,26505,114653,301,0.82
1030000,43707,122,60,60,154,47051,391,30811,8.9,87,2979,90,,,,562,0.95
1030000,43987,62,40,40,18,1152,52,65020,7.8,82,97,62,,,,277,0.02
1020632,41984,1298,40,6,2037,18513,22,139966,8.5,88,785,90,874,19597,187259,228,0.21
1020000,43665,165,60,60,53,16506,275,18104,7.3,73,294,81,,,,53,0.02
1019383,41718,1564,35,6,326,2098,7,6399,6.3,68,116,17,2759,17038,83115,59,0.11
1010000,43391,124,60,18,330,53874,555,41853,6.5,84,537,113,1646,5318,50594,58,0.14
1000000,42150,1127,10,9,345,75670,30,56904,6.2,64,31,4,1067,8372,56769,194,0
1000000,43598,415,45,15,1542,,608,63953,8.5,83,1824,116,4058,19069,138232,1346,0
1000000,43704,632,39.99,14.79,605,264379,334,70044,5.9,72,348,97,3334,3089,75263,72,0.4
1000000,44342,70,59.99,39.99,385,248599,5000,182158,7.1,68,1033,144,55048,9338,210298,62,2.43902439
1000000,43718,539,24.99,9.99,1574,139788,255,148741,8,82,614,78,3247,9547,53097,228,0.83
1000000,43634,359,40,26,928,42128,901,44688,8.5,83,1033,107,26934,15295,89609,884,0.86
1000000,43734,132,60,42,301,32803,991,63561,7.9,75,795,98,33895,12040,117367,124,2.173913043
1000000,44075,77,50,50,569,150967,355,56102,8.4,91,304,60,98872,20858,143436,417,0.11
1000000,41600,62,50,9,582,103324,19,4143,6.9,78,946,69,,,,409,2.702702703
1000000,42710,936,30,15,791,67576,202,32348,4.7,74,463,100,223,3134,29682,150,1.492537313
1000000,42992,77,45,25,1965,66864,394,56005,8.8,93,1631,72,93701,55994,410796,1534,0.02
1000000,42667,31,35,15,244,156873,512,140946,8.8,69,82,39,4402,13941,127617,30,0.76
1000000,41395,224,10,5,3752,12272,23,89971,6.7,91,1653,28,94,12010,19621,1615,3.03030303
1000000,43028,162,60,40,53,51513,89,4580,7.9,74,321,72,,,,136,0.52
1000000,42409,330,20,5,3824,79629,700,149305,6.9,87,1800,122,425,40936,195755,2018,2.631578947
1000000,42678,290,50,10,176,33284,34,7149,5.3,80,115,47,7684,10572,61723,268,1.333333333
1000000,42262,107,50,7.5,553,97118,70,10182,7.7,87,834,85,,,,124,0.37
