0,1,2,3,4,5,6,7
257372,446,667,24132,21,303,22,56
254152,446,718,717,233,76,2139,55
252514,384,4379,1843,168,152,19,47
251428,405,91302,29514,1047,333,125,174
250157,554,11000,28568,17,323,83,90
250000,1276,26568,48064,156,58,24,31
250000,166,2076,1895,46,75,1265,48
250000,11,7260,8934,425,37,40,50
250000,10,10980,2737,43,163,4,58
249349,315,17778,15306,228,1089,799,181
246496,122,23974,10743,88,133,43,21
245299,99,2699,688,98,74,79,44
244364,469,626,10127,47,74,4,54
242221,205,10822,230,13,74,4,54
240554,38,36584,482,46,365,299,53
240088,410,29360,326,643,73,36,106
240000,68,652,6934,30,50,23,71
240000,175,5621,13755,39,155,42,128
240000,69,2677,24356,41,36,8,120
239901,640,35080,3543,38,298,131,63
234066,771,554,1435,75,10,16,12
232259,587,1797,16836,101,595,377,374
231517,100,1076,87,26,15,41,24
231476,216,13855,2540,158,40,7,10
231014,125,7951,755,92,32,9,31
230000,317,13324,128324,235,149,88,24
227897,298,1823,7232,18,104,19,51
227034,1038,6373,6129,135,45,18,60
226289,283,2123,554,45,5,7,51
224856,113,12244,18461,116,70,47,51
224500,286,25264,41126,281,1276,550,51
222227,760,7683,10644,119,69,17,86
221231,1040,27747,34317,304,74,153,76
220307,106,7778,6334,55,69,27,39
220000,99,17119,0,193,103,4,54
217097,729,1335,1447,129,68,6,17
216703,962,408,210,57,68,4,15
215330,907,288,83,62,68,4,18
211874,770,316,14491,57,130,112,62
211410,711,4339,5379,37,67,507,49
211191,766,1206,416,80,67,8,10
210440,391,383,1947,156,67,16,27
210000,72,16748,5844,72,278,96,33
209114,1646,295,42494,8,375,4,25
208656,122,15325,12510,187,66,66,48
208032,465,40162,3134,56,66,16,32
205359,1078,571,790,107,6,6,54
204734,98,32146,110775,143,79,10,29
203867,536,7131,23893,532,553,215,55
203501,999,1743,5134,377,2,11,211
203211,728,17572,4473,155,1,25,12
201978,322,2809,122443,53,3,5,86
200623,163,38778,2089,304,28,136,32
200000,20,1911,2256,14,255,13,9
200000,83,537,665,37,1,4,47
200000,32,2176,97186,104,64,37,47
200000,1046,40925,25953,119,8,119,40
200000,65,5807,15140,62,559,26,11
200000,0,3187,1775,24,41,4,28
197450,838,1877,27589,152,157,158,1127
196982,416,12089,10566,337,64,55,180
195708,228,1143,78,44,63,33,33
195389,23,4776,14,127,66,4,37
193030,243,618,453,102,63,18,46
192670,468,16064,5927,40,63,0,45
191401,599,1861,149,277,2,6,45
190545,270,287,903,99,3,13,45
190000,1,671,4381,45,597,1041,45
