appid,name,tags,price,reviews,reviewScore,copiesSold,revenue,followers
71161,Shining in the Darkness,"['RPG', 'Dungeon Crawler', 'Retro', 'First-Person', 'Classic', 'Grid-Based Movement', 'Party-Based RPG', 'JRPG']",0.99,5,100,105,193,
2379300,Get Those Bugs,"['Strategy', 'Tower Defense', 'Card Game', 'Bullet Hell', 'Card Battler', '2D', 'Anime', 'Cute', 'Pixel Graphics', 'Magic', 'Sci-fi', 'Indie', 'Tactical', 'Gun Customization', 'Singleplayer', 'Funny', 'Character Customization']",5.99,6,100,34,183,26
3032530,Grocery Simulator,"['Simulation', 'Life Sim', 'Colony Sim', 'Exploration', 'Time Management', '3D', 'Cartoony', 'First-Person', 'Automation', 'Action', 'Indie', 'Combat', 'Resource Management', 'Singleplayer']",4.99,2,0,30,160,34
211203,Phantasy Star II,"['JRPG', 'RPG', 'Classic', 'Sci-fi', '2D', 'Adventure', 'Turn-Based', 'Singleplayer']",0.99,3,67,75,156,
211204,Phantasy Star III: Generations of Doom,"['JRPG', 'RPG', 'Fantasy', '2D']",0.99,3,67,75,156,
42900,Hearts of Iron III: Semper Fi,"['Strategy', 'Grand Strategy', 'World War II']",4.99,1,100,45,129,
34288,Eternal Champions™,"['Action', 'Fighting', '2D Fighter', 'Classic']",0.99,7,86,105,127,
211202,Golden Axe III,"[""Beat 'em up"", 'Fantasy', '2D', 'Retro', 'Co-op', 'Classic', 'Action']",0.99,4,100,60,107,
211208,VectorMan 2,"['Platformer', 'Action', 'Classic']",0.99,4,100,60,107,
3042280,Drop It! Jelly Man,"['Adventure', 'Casual', 'Action-Adventure', 'Platformer', '2D Platformer', '2D', 'Cute', 'Pixel Graphics', 'Nature', 'Comedy', 'Indie', 'Early Access', 'Parkour', 'Fantasy', 'Singleplayer']",4.99,9,78,29,78,9
34315,Alien Storm,"['Action', 'Arcade', ""Beat 'em up"", 'Classic', 'Aliens']",0.99,8,88,100,121,
2204530,Getting There,"['Interactive Fiction', 'Walking Simulator', 'Female Protagonist', '3D', 'Post-apocalyptic', 'Relaxing', 'Multiple Endings', 'Story Rich', 'Colorful', 'Minimalist', 'Stylized', 'Lovecraftian', 'Sci-fi', 'Atmospheric', 'Emotional', 'Adventure', 'Mystery', 'Singleplayer', 'Indie']",4.99,3,100,18,56,35
211207,The Revenge of Shinobi,"['Ninja', 'Platformer', 'Retro', 'Action', 'Classic', 'Singleplayer']",0.99,6,67,75,55,
3023660,Gay Sex Adventures - Episode 8,"['Sexual Content', 'Nudity', 'Visual Novel', 'Mature', 'Adventure', 'NSFW', 'Casual', 'LGBTQ+', 'Dating Sim', '3D', 'Cinematic', 'Colorful', 'Realistic', 'Relaxing', 'Romance', 'Linear', 'Indie', 'Story Rich', 'Singleplayer']",4.99,1,100,11,45,26
2868380,Feed Da King,"['Idler', 'Clicker', '2D', 'Automation', 'Pixel Graphics', 'Cute', 'Singleplayer', 'Indie', 'Casual']",5.99,6,83,8,43,13
42147,Hamilton's Great Adventure - Retro Fever DLC,"['Adventure', 'Indie', 'Casual']",0.99,1,100,15,13,
3059290,Deep Dungeon Knight,"['Casual', 'Dungeon Crawler', 'Indie', 'Roguelike', '3D', 'Action', 'Singleplayer']",5.99,0,0,1,5,3
3030820,Goo Go,"['Difficult', 'Online Co-Op', 'Parkour', 'Physics', 'Precision Platformer', '3D Platformer', 'Indie', 'Co-op', 'Intentionally Awkward Controls', 'Funny', 'Multiplayer', 'Nature', 'Singleplayer', 'Platformer', 'Surreal', 'Early Access', 'Action', 'RPG', 'Psychological Horror', 'Third Person']",0.99,0,0,1,0,14
3024950,Glen: A Dull Journey into the Unremarkable,"['Casual', 'Immersive Sim', 'Action-Adventure', 'Funny', 'Cartoony', 'Family Friendly', 'Cartoon', 'RPG', 'Indie', 'Singleplayer']",1.44,2,100,1,1,8
2172860,The Elder Scrolls Online: Necrom,"['RPG', 'Action', 'Adventure', 'Massively Multiplayer', 'Open World', 'Fantasy', 'MMORPG', 'Exploration', 'Multiplayer', 'Supernatural', 'Singleplayer', 'Character Customization', 'Story Rich', 'PvP', 'PvE', 'Choose Your Own Adventure', 'Lore-Rich', 'Action RPG', 'Class-Based', 'Dark Fantasy']",0,265,71,13200,0,
901663,Sam & Max: Season Two,"['Adventure', 'Cult Classic', 'America', 'Great Soundtrack', '2D', 'Point & Click', 'Retro', 'Funny', 'Story Rich', ""1990's"", 'Singleplayer']",0,186,89,26890,0,
3057550,Get Rich,"['Action Roguelike', 'Third-Person Shooter', 'Top-Down Shooter', 'Roguelite', 'Shooter', 'Roguelike', '2D', 'Comic Book', 'Top-Down', 'Underground', 'Action', 'Casual', 'Procedural Generation', 'Cartoony', 'Colorful', 'Atmospheric', 'Drama', 'Investigation', ""1990's"", 'Combat']",0.99,0,0,1,0,11
3011620,Glow up 1,"['Casual', 'Auto Battler', 'God Game', 'Real Time Tactics', 'Wargame', 'Idler', 'Cute', 'Anime', 'Colorful', 'Comic Book', 'Automation', 'Atmospheric', 'Controller', 'Team-Based', 'Physics', 'Procedural Generation', 'Singleplayer', 'Indie']",0.99,2,50,1,0,19
3046670,Glow up 2,"['Auto Battler', 'Casual', 'Physics', '2.5D', 'Cute', 'Procedural Generation', 'Simulation', '2D', 'Anime', 'Indie', 'Singleplayer', 'Idler', 'God Game', 'Automation']",0.99,1,100,1,0,18
3023380,Hazardous island,"['Action', 'Adventure', 'Action-Adventure', 'Shooter', 'Singleplayer', 'Walking Simulator', 'Choose Your Own Adventure', 'Collectathon', 'Story Rich', 'Open World', 'Exploration', 'FPS', 'Hero Shooter', '3D', 'First-Person', 'Realistic', 'Drama', 'Emotional', 'Funny', 'Logic']",0,8,100,191,0,42
