SteamCCU,SteamComments,SteamFollowers
27,477,7575
6,241,2359
48,680,11467
3,222,4221
326,547,12987
7,256,7072
9,236,673
100,85,371
6,164,1066
76,652,11326
2,75,1033
21,236,21686
4,,1345
2,62,1106
120,535,10261
,,
3,307,1017
3,203,5390
79,437,8741
32,119,384
3,135,1094
25,291,2119
9,226,1834
22,106,573
2,111,754
,,
75,334,6792
10,337,10136
76,4130,10550
54,1072,13402
3,222,2020
5,144,761
2,5,144
10,670,10113
40,1426,19901
3,105,1123
2,123,920
4,159,1071
58,706,4439
6,235,5194
78,266,3702
,,
165,1128,14502
4,266,2252
2,40,144
3,338,922
208,657,18990
148,862,3668
13,502,2205
3,25,477
16,662,8880
1939,2452,10672
6,177,755
37,255,2705
2,119,4545
,,
4,76,346
8,93,7946
7,694,3956
16,422,3021
13,316,4862
2,626,2685
3,314,4820
55,307,5645
8,,6800
823,852,8334
2,250,231
2938,4352,61432
,,
9,69,230
11,29,3973
,,
,,
4,234,2641
43,311,3711
10,17,1862
2,104,871
35,291,7155
5,302,3596
24,371,4861
5,416,2357
3,76,957
3,94,2187
10,87,1552
136,234,3305
,,
46,893,4511
5,41,486
50,704,3254
2,105,890
11,190,3687
63,374,7239
10,80,1084
27,187,4382
12,48,681
3,220,3007
5,179,711
8,366,2513
2,72,136
13,260,2113
48,223,1716
,,
104,846,12673
7,202,6148
28,391,2014
2,86,486
10,45,2027
5,94,1345
3,145,439
4,82,3255
159,224,2237
162,581,8222
12,190,2043
4,197,2109
16,201,2782
2,27,224
3,247,1295
8,601,5107
3,53,1323
3,123,1234
8,177,3294
,,
22,,1986
3,122,944
3,86,468
25,257,4767
58,151,1454
2,75,685
35,84,3270
3,119,2947
5,69,1054
10,217,3365
,,
11,208,721
12,141,6452
3,,76
16,268,5138
27,196,2408
4,154,3710
2,142,1162
27,235,1438
2,111,1193
3,330,1580
15,240,1840
6,87,905
11,102,1775
,,
3,71,1527
142,261,1364
2,40,415
,,
5,92,972
2,28,366
8,297,3952
21,145,2154
4,81,623
19,339,3734
4,217,1694
5,175,3815
11,72,1623
3,33,204
,,
11,111,2614
7,77,679
4,53,941
23,174,2668
7,85,2101
,,
12,112,1247
47,225,4004
1,35,108
6,61,1119
2,124,2284
11,65,968
13,92,611
3,95,317
2,56,264
,,1541
2,12,210
2,26,333
2,65,776
2,62,276
3,146,4624
,,
28,346,2381
3,221,3101
2,79,193
19,246,4732
9,161,1725
2,29,790
7,147,1607
21,282,2627
5,90,428
1,4,1623
6,304,2641
2,62,897
108,256,9379
3,96,1228
25,211,3146
9,271,976
10,277,1460
5,129,2204
88,204,12021
71,434,5139
3,56,1350
2,37,2243
6,132,2910
7,151,2170
27,236,5940
4,77,2786
2,34,361
3,104,2055
14,11,757
7,45,1689
3,186,6904
6,99,398
8,119,1058
2,52,948
,,
,,
14,139,3043
35,94,1990
6,78,1225
2,51,627
8,103,1540
12,108,1214
11,108,4632
,,
4,130,1589
33,110,801
,,
5,61,768
,,
6,90,1995
,,
,,
,,
,,
1,36,1011
1,27,238
2,34,602
,,
5,22,500
1,17,364
3,21,465
6,97,1939
,,
16482,4996,30335
