Date,Gap,PriceMax,PriceMin,Chinese,French,Japanese,Korean,Russian,MCUserScore,MCCriticScore,MCRatings,MCMedia,SteamCCU,SteamComments,SteamFollowers
41537,990,5,4.99,1,1,0,0,0,7.1,65,78,4,187,1857,2624
41899,1383,10,1,1,1,0,0,1,7.6,68,16,8,14,378,1521
42200,1082,9.99,2,1,0,0,0,1,8.8,80,32,6,13,968,4017
42240,1042,20,19.99,0,1,1,0,0,7.6,80,29,8,54,1234,17076
43075,207,15,1,1,1,1,1,1,7.1,81,14,13,186,700,6050
42571,711,13,1,1,1,1,1,1,7.8,81,36,21,118,1552,14911
42451,831,20,19.99,1,0,0,0,0,3.3,92,231,8,62,628,2211
41544,831,20,19.99,1,1,0,1,1,6.8,66,82,17,62,380,1753
41418,1738,9,8.99,1,1,1,0,0,7.7,77,37,8,3,617,2781
41543,1864,5,1,0,1,1,0,1,8,84,43,5,7,330,1434
42755,527,40,30,1,1,0,0,1,5.2,62,36,20,32,2264,34993
42306,976,13,1,1,0,0,0,1,8.6,76,58,11,172,1239,18004
41950,1332,20,1,1,1,1,1,1,6.9,66,137,18,17,7424,15460
42613,669,20,8,1,0,0,0,0,7.3,70,10,7,16,488,6734
42793,489,10,2,1,0,0,0,0,7.1,81,61,21,44,2866,8137
42159,1123,4.99,2,1,1,1,1,1,7,71,15,5,30,825,3504
42187,1095,4.99,1,1,0,0,0,0,7.2,83,15,4,2366,1995,1187
41733,1549,4.99,2,1,0,1,0,0,7,79,15,6,14,475,4788
42465,817,19.99,19.99,1,0,0,0,0,6.6,80,8,5,19,793,15224
41800,1482,20,0.49,1,1,0,0,1,6.8,68,13,14,109,597,1681
42257,1025,10,2,1,1,1,1,1,7.5,80,51,28,28,1328,5786
41580,705,5,0.99,1,0,0,0,0,6.7,73,33,7,11,350,2352
41689,1593,4.99,4.99,1,0,0,0,0,7.1,66,18,5,4,559,573
41521,1593,6,1,1,0,0,0,0,5.5,73,20,9,4,462,1429
43083,199,10,5,1,1,0,1,1,8.3,81,123,18,132,7675,39376
42194,1088,20,6,1,1,0,0,1,7.1,79,31,18,13,1167,16103
42818,464,19.99,19.99,1,0,0,0,0,6.8,86,8,5,174,665,2314
41323,464,15,4,1,0,0,0,0,7.2,68,31,6,4,197,792
42510,772,15,1,1,0,0,0,0,6.6,54,30,10,30,1234,5059
41387,772,15,4,1,0,0,0,0,6.7,66,17,6,3,468,4757
42124,1158,20,2,1,0,0,0,0,4.1,47,16,8,7,406,4707
42159,1123,20,7,1,0,0,0,0,7.4,68,22,18,10,505,11776
41957,1325,20,10,1,1,0,0,1,7.8,71,122,9,49,984,11578
42934,348,9.99,3.99,1,0,0,0,0,6.5,80,10,5,129,913,11795
41457,348,15,7,1,1,0,0,1,6.7,58,15,14,618,337,6680
42675,607,19.99,7,1,0,0,0,0,7.6,76,11,4,60,1215,20533
42873,409,12.99,12.99,1,1,0,0,1,7.3,58,9,6,102,902,13624
41703,1579,1.99,0.89,1,1,0,0,1,7.4,72,15,13,6,321,903
42067,1215,12,5,1,1,0,0,1,8,72,70,27,26,2036,18876
41529,313,16,15.99,0,1,0,0,1,7.7,72,105,13,9,652,3079
42040,1242,10,9,1,0,0,0,0,7.5,76,27,10,11,1051,6593
42901,381,15,14.99,1,1,0,0,0,6.4,71,5,7,593,341,4403
41726,1556,10,9.99,1,0,0,0,0,7,67,5,10,5,288,940
42495,787,15,3,1,1,0,0,0,7.6,77,63,24,336132,2283,6333
43264,18,35,17.49,1,1,1,1,1,6.4,67,16,9,854,3379,22090
41575,1512,5,2,1,0,0,0,0,7.4,65,45,9,6,589,623
41961,1321,15,3,1,1,0,0,1,3.5,52,75,23,24,975,9488
42537,745,20,10,1,1,0,0,0,5.7,64,6,6,316,325,3146
42247,1035,10,3,1,1,0,0,1,7.6,79,118,31,21,1192,14763
41409,290,10,1.99,1,1,0,0,1,7.1,69,37,15,23,485,707
41393,1873,6,3,1,1,0,0,0,7.3,55,30,10,3,387,281
41970,1312,15,1.49,1,1,0,0,0,6.8,78,22,13,20,568,9074
41899,1383,9.99,3,1,0,0,0,0,4.8,50,8,6,3,352,2352
41576,1383,15,4,1,0,0,0,0,5.9,59,39,13,3,623,3722
42768,514,20,2,1,1,1,0,1,6.3,66,27,34,20,820,15897
42563,719,29.99,6,1,0,1,0,0,8.5,81,4,6,47,767,10323
