Developer,Publisher,IP,Date,Gap,PlayerType,PriceMax,PriceMin,Rawg,Chinese,French,Spanish,Japanese,Korean,Russian,Turkish,Portuguese,Polish,Action,ActionAdventure,Role-Playing,Strategy,Adventure,First-Person,Fighting,Puzzle,Arcade,Sci-Fi,Open-world,Survival,PC,PS4,XBOX,NS,Youtube,Twitch,MCUserScore,MCCriticScore,MCUserRatings,MCMediaRatings,SteamCCU,SteamComments,SteamFollowers,Douban,Google Trends,IsFamous
10,10,10,42969,761,2,60,9,1791,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66561409,0,0,79796,59504,7.9,84,1123,104,0,0,0,1524,0.62,1
8,8,4,41450,1832,2,20,0,3830,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,81804787.99,0,0,0,43498,7590,2.1,80,5724,82,10349,32870,96608,375,1.612903226,1
10,10,10,43476,262,0,60,42,86,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29957620,70916,23701,7.1,80,199,70,0,0,0,466,,1
9,9,7,41358,262,0,15,7,6778,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,73505275.41,0,0,0,166104,16259,8.6,94,8158,68,1723,89158,114915,3994,10,1
6,9,6,42650,7,0,60,10,3302,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,323230218.4,51006650,28660850,0,159509,79661,5.2,68,3203,119,2368,29190,184276,656,0.44,1
6,6,2,41957,1601,0,20,5,2743,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,146885581.9,0,0,0,64528,17603,8.4,83,828,62,3140,46946,279854,5366,1.449275362,1
6,6,1,42573,709,2,15,9,2051,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,296297977.6,47252053,26659697,0,47101,26630,7.2,81,404,21,20116,133993,244615,432,10,1
7,9,8,43578,68,2,60,24,830,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,911137428.2,96256858,52778642,34419610,118247,202719,3.4,86,3010,135,27301,13497,15422,111,4.347826087,1
8,9,8,43357,158,0,60,20,1624,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,713306780,85480677,47035073,0,115054,83572,7.4,82,1719,139,5733,13968,160566,147,2.777777778,1
6,6,1,43581,149,0,60,20,795,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,96403141,0,0,143316,132741,8,71,4320,109,0,0,0,261,5,1
6,6,6,41358,1859,2,30,10,1093,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73505275.41,0,0,0,571337,55686,7.5,74,990,38,32582,96647,537160,373,2.325581395,1
8,8,8,42472,282,1,60,15,3891,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,264280473.7,42327192,24034808,0,348785,275893,8.8,89,6250,139,129975,139219,490639,5101,0.45,1
6,6,3,41631,1692,2,45,31,707,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,100898311.4,1319191,2178059,0,354055,79522,4,69,211,11,18792,210414,404958,111,10,1
9,9,8,43347,64,0,60,30,485,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,705428905,84993067,0,0,18611,23595,8.7,86,1017,90,11793,3527,46751,938,1.470588235,1
4,4,1,42573,698,1,15,7,1731,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,296297977.6,47252053,26659697,0,43390,73386,7.7,73,109,56,29968,49880,285826,1993,0.64,1
7,9,8,42166,124,0,20,4,543,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,186584237.6,27406326,16082174,0,171923,1987,7.2,72,185,82,3498,2266,27523,48,2.857142857,1
8,9,4,42811,803,0,60,27,2577,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,387519352.8,58857171,0,0,132124,130151,8.9,88,4291,113,23908,36378,391876,4416,4,1
8,8,8,42888,777,2,40,12,1027,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,422539003.7,62611768,34846232,0,142706,236556,6.8,82,986,113,8118,24894,114072,324,3.846153846,1
10,10,9,44001,8,0,60,60,1289,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,116882761,0,0,217288,508463,4.6,94,87987,107,0,0,0,3282,1.176470588,1
7,9,7,41779,352,0,60,6,4285,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,119697440,8535819,6024431,0,171643,109501,8.2,81,3814,114,2737,31983,111808,667,3.571428571,1
10,10,10,43644,94,1,60,60,166,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37306780,152230,84896,8.5,88,525,97,0,0,0,384,0.76,1
8,8,8,42416,1320,1,20,8,958,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,248014971.5,39596576,0,0,181875,212889,3.6,77,1831,113,4422,20397,76419,533,1.030927835,1
8,9,3,43546,143,0,60,39,1745,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,879476755.5,94696506,51946994,0,163669,279037,8,91,3851,131,125315,48353,336343,4322,1.388888889,1
4,4,1,41774,1508,1,15,3,2384,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,119009701.5,0,0,0,7912,152739,7.9,85,247,17,1370,51672,126668,1018,0.55,1
8,9,8,42503,217,2,60,10,5206,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,273729064.7,43838783,24840467,0,316336,169268,8.5,87,5463,196,5623,88882,320474,974,14.28571429,1
5,5,3,42962,350,0,10,4,2740,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,459105821.4,66220082,0,7472690,108353,216515,8.3,93,4819,69,2412,109323,282982,2169,6.666666667,1
9,9,8,43186,5,2,60,15,2294,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,589722616.5,77142546,42590954,0,218459,258270,6.8,82,2822,146,17762,41861,324672,1345,12.5,1
7,8,10,43126,280,1,60,15,680,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,551540925,74216886,41031614,14646870,190212,241067,8.1,88,756,130,5400,17762,120312,278,3.03030303,1
9,9,10,43931,3,0,60,60,754,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,113469491,0,0,15012,216303,8,88,3428,106,0,0,0,685,1.19047619,1
5,6,1,42426,693,0,15,9,3140,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,250845809.4,40084186,22839314,0,69373,50884,8.8,89,1480,65,24919,177195,443663,4435,10,1
6,7,2,42073,735,0,30,7.5,3078,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,167767391.4,0,0,0,152842,29307,8.9,85,1668,60,24892,92543,391238,162,4.166666667,1
8,10,5,43245,497,0,20,8,2897,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,629787398.2,80019445,0,0,138020,236767,8.7,78,3158,104,,,,7082,3.571428571,1
10,10,10,43728,10,0,60,60,159,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,40981360,28672,57713,8.5,87,641,106,0,0,0,1201,0.02,1
10,10,4,42797,849,0,50,35,55,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254765,457838,15355,4.8,58,422,63,0,0,0,716,0.02,1
8,10,8,42087,1513,1,60,7,3897,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,23554207,0,0,306124,245345,8.9,92,8820,100,0,0,0,3857,12.5,1
2,2,1,42556,426,0,25,8,2007,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,290654946.1,46423116,26217884,0,19892,129390,7.8,77,489,73,263,5446,40924,86,0.65,1
9,9,8,43718,3,2,60,30,1066,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1063284415,0,56417102,0,35164,57682,8.6,84,2484,109,9878,7351,57252,291,4.166666667,1
9,9,10,43802,11,2,40,40,1659,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1166234201,0,58600178,0,7283,136672,7.5,85,1484,69,161024,39167,343442,295,0.32,1
7,9,5,42297,576,0,80,0,6874,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,216637687.2,33794017,19486733,0,70557,21098,8.6,85,3923,42,18260,129210,254064,7093,2.857142857,1
7,7,8,42248,21,2,60,9,5119,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,204878930.7,31404728,18213272,0,312740,9967,8.2,95,8289,109,4048,48676,244598,3555,1.369863014,1
9,9,4,41926,102,0,60,5,2204,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,141750542.1,15703686,9844814,0,179825,18349,7.5,79,2946,107,556,14120,81645,1611,6.25,1
5,6,1,43081,201,1,20,10,625,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,524503823.9,72022641,39862109,0,60276,48314,8.3,69,73,22,485,17201,228417,102,0.62,1
5,6,2,42479,803,1,10,2.5,1860,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,266385705.3,42668519,24216731,0,14224,104100,7.6,84,78,13,853,23835,65683,101,0.15,1
5,5,3,42790,720,0,15,7,2913,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,378472539.4,57833190,32299310,0,32919,177178,9,90,1495,59,6665,61820,178801,2918,1.492537313,1
6,6,3,42283,679,2,30,6,1368,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,213212224.9,33111363,19122887,0,24053,11021,7.2,80,1986,101,18092,42780,265915,51,2.941176471,1
7,10,10,43273,373,1,60,40,102,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21077385,85030,56535,7.1,75,445,86,0,0,0,607,0.74,1
5,7,8,42829,750,0,60,9,1655,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,59734869,0,0,114249,45615,8.7,93,3865,98,0,0,0,4221,10,1
8,9,9,41935,1347,2,40,10,970,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,143222970.9,0,0,0,13363,3242,5.5,81,1051,78,1372,18345,148784,415,0.04,1
5,5,3,41409,1347,0,15,7,2932,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,77998522.99,0,0,0,13075,6189,7.6,77,386,28,278,13207,34288,22,0.25,0
10,10,8,42822,950,2,60,10,74,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59393542,0,0,48998,17953,6.9,85,152,45,0,0,0,,0.8,0
6,10,8,43175,380,0,60,40,65,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16790375,87747,24135,7.4,73,410,83,0,0,0,854,0.61,1
8,8,7,43532,114,1,60,30,1477,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,865966367.8,94013852,51583148,0,104305,140428,8.7,89,2966,127,88735,30314,53146,2363,2.702702703,1
8,9,6,42684,7,0,60,40,3103,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,335871977.8,52664524,29544476,0,103009,180946,7.9,88,2083,127,3690,29304,217355,1030,4,1
5,6,2,42464,1089,0,15,7,1771,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,261894440.2,41937104,23826896,0,41840,139787,8,87,499,89,13043,38532,124823,379,1.136363636,1
7,9,8,42640,139,2,60,25,1050,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,319601562.3,0,28400960,0,177766,43679,8,91,1377,103,,,,558,3.333333333,1
8,7,4,42773,728,1,60,18,1133,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,371300695.9,57004253,0,0,76694,93044,8.5,88,1999,100,10649,11359,129243,1819,5,1
