,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,announcement,announcement_lower,announcement_upper,holidays,holidays_lower,holidays_upper,release,release_lower,release_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
92,2022-12-16,20908.66939946504,46831.2,27575.848940683463,27615.5980750778,20908.66939946504,20908.66939946504,6687.265385053604,6687.265385053604,6687.265385053604,0.0,0.0,0.0,6693.037052,6693.037052,6693.037052,6693.037052,6693.037052,6693.037052,-5.771666946394884,-5.771666946394884,-5.771666946394884,0.0,0.0,0.0,27595.934784518646
93,2022-12-17,21494.855942227947,46831.2,29157.951940724255,29197.162538541143,21494.855942227947,21494.855942227947,7683.095959077924,7683.095959077924,7683.095959077924,0.0,0.0,0.0,7677.702058,7677.702058,7677.702058,7677.702058,7677.702058,7677.702058,5.393901077924384,5.393901077924384,5.393901077924384,0.0,0.0,0.0,29177.95190130587
94,2022-12-18,22081.042484990852,46831.2,29936.93813935381,29978.36336332103,22081.042484990852,22081.042484990852,7876.896553240794,7876.896553240794,7876.896553240794,0.0,0.0,0.0,7873.417448,7873.417448,7873.417448,7873.417448,7873.417448,7873.417448,3.4791052407936625,3.4791052407936625,3.4791052407936625,0.0,0.0,0.0,29957.939038231645
95,2022-12-19,22667.208095423757,46831.2,30548.773852563267,30591.253136161802,22667.208095423757,22667.208095423757,7901.755898417844,7901.755898417844,7901.755898417844,0.0,0.0,0.0,7893.008500000001,7893.008500000001,7893.008500000001,7893.008500000001,7893.008500000001,7893.008500000001,8.74739841784311,8.74739841784311,8.74739841784311,0.0,0.0,0.0,30568.9639938416
96,2022-12-20,23253.37370585666,46831.2,31018.22801008755,31055.95258539443,23253.37370585666,23253.37370585666,7783.606434232256,7783.606434232256,7783.606434232256,0.0,0.0,0.0,7778.974528000001,7778.974528000001,7778.974528000001,7778.974528000001,7778.974528000001,7778.974528000001,4.631906232256217,4.631906232256217,4.631906232256217,0.0,0.0,0.0,31036.980140088916
97,2022-12-21,23839.53931628956,46831.2,31410.23191857153,31450.363945787965,23839.53931628956,23839.53931628956,7591.400996443158,7591.400996443158,7591.400996443158,0.0,0.0,0.0,7599.415902000001,7599.415902000001,7599.415902000001,7599.415902000001,7599.415902000001,7599.415902000001,-8.01490555684257,-8.01490555684257,-8.01490555684257,0.0,0.0,0.0,31430.940312732717
98,2022-12-22,24425.704926722465,46831.2,31733.839808870416,31775.444830669287,24425.704926722465,24425.704926722465,7329.2808335344,7329.2808335344,7329.2808335344,0.0,0.0,0.0,7337.746572,7337.746572,7337.746572,7337.746572,7337.746572,7337.746572,-8.465738465599712,-8.465738465599712,-8.465738465599712,0.0,0.0,0.0,31754.985760256866
99,2022-12-23,25012.025306668904,46831.2,32601.939170290538,32638.257095441168,25012.025306668904,25012.025306668904,7607.9667770536125,7607.9667770536125,7607.9667770536125,0.0,0.0,0.0,7613.738444,7613.738444,7613.738444,7613.738444,7613.738444,7613.738444,-5.7716669463867145,-5.7716669463867145,-5.7716669463867145,0.0,0.0,0.0,32619.992083722515
100,2022-12-24,25598.345686615332,46831.2,33207.366918227206,33246.28146916934,25598.345686615332,25598.345686615332,7628.693715077926,7628.693715077926,7628.693715077926,0.0,0.0,0.0,7623.299814000001,7623.299814000001,7623.299814000001,7623.299814000001,7623.299814000001,7623.299814000001,5.39390107792544,5.39390107792544,5.39390107792544,0.0,0.0,0.0,33227.039401693255
101,2022-12-25,26184.66606656177,46831.2,33703.1039806579,33741.73569918122,26184.66606656177,26184.66606656177,7537.370353240785,7537.370353240785,7537.370353240785,0.0,0.0,0.0,7533.891248,7533.891248,7533.891248,7533.891248,7533.891248,7533.891248,3.479105240785487,3.479105240785487,3.479105240785487,0.0,0.0,0.0,33722.036419802556
102,2022-12-26,26770.99992403594,46831.2,34155.14418373853,34193.9440686871,26770.99992403594,26770.99992403594,7404.057320417857,7404.057320417857,7404.057320417857,0.0,0.0,0.0,7395.309922,7395.309922,7395.309922,7395.309922,7395.309922,7395.309922,8.747398417857426,8.747398417857426,8.747398417857426,0.0,0.0,0.0,34175.0572444538
103,2022-12-27,27357.333781510097,46831.2,34515.98960044899,34556.255074188,27357.333781510097,27357.333781510097,7178.7424602322535,7178.7424602322535,7178.7424602322535,0.0,0.0,0.0,7174.110554,7174.110554,7174.110554,7174.110554,7174.110554,7174.110554,4.631906232253888,4.631906232253888,4.631906232253888,0.0,0.0,0.0,34536.076241742354
104,2022-12-28,27943.667638984272,46831.2,34784.763029857626,34822.59699544432,27943.667638984272,27943.667638984272,6859.3903144431615,6859.3903144431615,6859.3903144431615,0.0,0.0,0.0,6867.40522,6867.40522,6867.40522,6867.40522,6867.40522,6867.40522,-8.014905556837926,-8.014905556837926,-8.014905556837926,0.0,0.0,0.0,34803.05795342744
105,2022-12-29,28530.00149645843,46831.2,35029.12963704893,35066.35611139134,28530.00149645843,28530.00149645843,6517.110747534404,6517.110747534404,6517.110747534404,0.0,0.0,0.0,6525.576486,6525.576486,6525.576486,6525.576486,6525.576486,6525.576486,-8.465738465595164,-8.465738465595164,-8.465738465595164,0.0,0.0,0.0,35047.11224399284
106,2022-12-30,29116.335353932598,46831.2,35236.97508202667,35275.966216278,29116.335353932598,29116.335353932598,6139.769631053617,6139.769631053617,6139.769631053617,0.0,0.0,0.0,6145.541298,6145.541298,6145.541298,6145.541298,6145.541298,6145.541298,-5.771666946382866,-5.771666946382866,-5.771666946382866,0.0,0.0,0.0,35256.10498498622
107,2022-12-31,29657.343299978194,46831.2,35445.420050178516,35484.050454152675,29657.343299978194,29657.343299978194,5806.803931077914,5806.803931077914,5806.803931077914,0.0,0.0,0.0,5801.41003,5801.41003,5801.41003,5801.41003,5801.41003,5801.41003,5.393901077913163,5.393901077913163,5.393901077913163,0.0,0.0,0.0,35464.14723105611
